SEP=,
------------------------------------------------ INICIO DE LA TOMA DE DATOS -------------------------------------------------
Temperatura,Humedad,Presion,Indice de calor,Latitud,Longitud,Altitud,Nivel de CO2 PPM,Niveles de TVOC PPB,Temperatura reportada por el CCS,Fecha/hora de la muestra,
27.60,19.00,979.98,26.06,0.000000,0.000000,0.00,496,14,112,00/00/2000 00:00:00 ,
27.60,19.00,979.93,26.06,0.000000,0.000000,0.00,448,7,112,00/00/2000 00:00:00 ,
27.62,19.00,980.07,26.06,0.000000,0.000000,0.00,448,7,112,00/00/2000 00:00:00 ,
27.61,19.00,980.02,26.06,0.000000,0.000000,0.00,405,0,112,00/00/2000 00:00:00 ,
27.60,19.00,979.98,26.06,0.000000,0.000000,0.00,405,0,112,00/00/2000 00:00:00 ,
27.61,19.00,979.98,26.06,0.000000,0.000000,0.00,405,0,112,00/00/2000 00:00:00 ,
27.62,19.00,979.99,26.06,0.000000,0.000000,0.00,1532,172,112,00/00/2000 00:00:00 ,
27.61,19.00,980.03,26.06,0.000000,0.000000,0.00,1532,172,112,00/00/2000 00:00:00 ,
27.62,19.00,980.03,26.06,0.000000,0.000000,0.00,679,42,112,00/00/2000 00:00:00 ,
27.62,19.00,980.01,26.06,0.000000,0.000000,0.00,679,42,112,00/00/2000 00:00:00 ,
27.63,19.00,980.06,26.06,0.000000,0.000000,0.00,679,42,112,00/00/2000 00:00:00 ,
27.62,19.00,979.96,26.06,0.000000,0.000000,0.00,413,1,112,00/00/2000 00:00:00 ,
27.63,20.00,980.01,25.18,0.000000,0.000000,0.00,413,1,112,00/00/2000 00:00:00 ,
27.65,20.00,980.04,25.18,0.000000,0.000000,0.00,400,0,112,00/00/2000 00:00:00 ,
27.63,20.00,979.97,25.18,0.000000,0.000000,0.00,400,0,112,00/00/2000 00:00:00 ,
27.65,20.00,980.02,25.18,0.000000,0.000000,0.00,400,0,112,00/00/2000 00:00:00 ,
27.66,20.00,980.08,25.18,0.000000,0.000000,0.00,400,0,112,00/00/2000 00:00:00 ,
27.65,19.00,980.01,26.06,0.000000,0.000000,0.00,400,0,112,00/00/2000 00:00:00 ,
27.65,19.00,979.97,26.06,0.000000,0.000000,0.00,400,0,112,00/00/2000 00:00:00 ,
27.65,19.00,980.02,26.06,0.000000,0.000000,0.00,400,0,112,00/00/2000 00:00:00 ,
27.66,19.00,980.08,26.06,0.000000,0.000000,0.00,400,0,112,00/00/2000 00:00:00 ,
27.65,19.00,980.03,26.06,0.000000,0.000000,0.00,400,0,112,00/00/2000 00:00:00 ,
27.66,19.00,979.99,26.06,0.000000,0.000000,0.00,400,0,112,00/00/2000 00:00:00 ,
27.65,19.00,979.99,26.06,0.000000,0.000000,0.00,400,0,112,00/00/2000 00:00:00 ,
27.65,19.00,979.94,26.06,0.000000,0.000000,0.00,400,0,112,00/00/2000 00:00:00 ,
27.66,19.00,980.06,26.06,0.000000,0.000000,0.00,400,0,112,00/00/2000 00:00:00 ,
27.65,19.00,980.05,26.06,0.000000,0.000000,0.00,400,0,112,00/00/2000 00:00:00 ,
27.65,19.00,979.92,26.06,0.000000,0.000000,0.00,400,0,112,00/00/2000 00:00:00 ,
27.64,19.00,979.99,26.06,0.000000,0.000000,0.00,400,0,112,00/00/2000 00:00:00 ,
27.65,19.00,980.02,26.06,0.000000,0.000000,0.00,400,0,112,00/00/2000 00:00:00 ,
27.65,19.00,980.01,26.06,0.000000,0.000000,0.00,991,90,112,00/00/2000 00:00:00 ,
27.65,19.00,980.00,26.06,0.000000,0.000000,0.00,991,90,112,00/00/2000 00:00:00 ,
27.66,19.00,980.00,26.06,0.000000,0.000000,0.00,542,21,112,00/00/2000 00:00:00 ,
27.65,19.00,979.92,26.06,0.000000,0.000000,0.00,542,21,112,00/00/2000 00:00:00 ,
27.66,19.00,979.99,26.06,0.000000,0.000000,0.00,542,21,112,00/00/2000 00:00:00 ,
27.68,19.00,980.01,26.06,0.000000,0.000000,0.00,556,23,112,00/00/2000 00:00:00 ,
27.67,19.00,980.01,26.06,0.000000,0.000000,0.00,556,23,112,00/00/2000 00:00:00 ,
27.66,19.00,979.95,26.06,0.000000,0.000000,0.00,991,90,111,00/00/2000 00:00:00 ,
27.65,19.00,979.91,26.06,0.000000,0.000000,0.00,991,90,111,00/00/2000 00:00:00 ,
27.66,19.00,979.94,26.06,0.000000,0.000000,0.00,1959,237,111,00/00/2000 00:00:00 ,
27.66,19.00,980.04,26.06,0.000000,0.000000,0.00,1959,237,111,00/00/2000 00:00:00 ,
27.65,19.00,979.97,26.06,0.000000,0.000000,0.00,1959,237,111,00/00/2000 00:00:00 ,
27.65,19.00,980.00,26.06,0.000000,0.000000,0.00,7992,1156,111,00/00/2000 00:00:00 ,
27.65,19.00,980.02,26.06,0.000000,0.000000,0.00,7992,1156,111,00/00/2000 00:00:00 ,
27.66,19.00,979.99,26.06,0.000000,0.000000,0.00,7992,1156,112,00/00/2000 00:00:00 ,
27.65,19.00,979.99,26.06,0.000000,0.000000,0.00,7992,1156,112,00/00/2000 00:00:00 ,
27.66,19.00,979.95,26.06,0.000000,0.000000,0.00,7992,1156,112,00/00/2000 00:00:00 ,
27.65,19.00,979.94,26.06,0.000000,0.000000,0.00,6183,881,112,00/00/2000 00:00:00 ,
27.65,19.00,979.97,26.06,0.000000,0.000000,0.00,6183,881,112,00/00/2000 00:00:00 ,
27.65,19.00,980.01,26.06,0.000000,0.000000,0.00,7992,1156,112,00/00/2000 00:00:00 ,
27.65,19.00,979.98,26.06,0.000000,0.000000,0.00,7992,1156,112,00/00/2000 00:00:00 ,
27.65,19.00,979.93,26.06,0.000000,0.000000,0.00,7992,1156,112,00/00/2000 00:00:00 ,
27.65,19.00,979.94,26.06,0.000000,0.000000,0.00,3508,473,112,00/00/2000 00:00:00 ,
27.67,19.00,980.00,26.06,0.000000,0.000000,0.00,1688,196,112,00/00/2000 00:00:00 ,
27.66,19.00,979.95,26.06,0.000000,0.000000,0.00,1688,196,112,00/00/2000 00:00:00 ,
27.66,19.00,980.00,26.06,0.000000,0.000000,0.00,1688,196,112,00/00/2000 00:00:00 ,
27.66,19.00,979.97,26.06,0.000000,0.000000,0.00,1199,121,112,00/00/2000 00:00:00 ,
27.66,19.00,980.01,26.06,0.000000,0.000000,0.00,1199,121,112,00/00/2000 00:00:00 ,
27.66,19.00,980.05,26.06,0.000000,0.000000,0.00,1248,129,112,00/00/2000 00:00:00 ,
27.66,19.00,979.97,26.06,0.000000,0.000000,0.00,1248,129,112,00/00/2000 00:00:00 ,
27.68,19.00,980.00,26.06,0.000000,0.000000,0.00,1248,129,112,00/00/2000 00:00:00 ,
27.67,19.00,979.97,26.06,0.000000,0.000000,0.00,991,90,112,00/00/2000 00:00:00 ,
