SEP=,
------------------------------------------------ INICIO DE LA TOMA DE DATOS -------------------------------------------------
Temperatura,Humedad,Presion,Indice de calor,Latitud,Longitud,Altitud,Nivel de CO2 PPM,Niveles de TVOC PPB,Temperatura reportada por el CCS,Fecha/hora de la muestra,
29.50,14.00,978.96,26.63,1000.000000,1000.000000,0.00,1289,135,116,,
29.49,14.00,978.89,26.63,1000.000000,1000.000000,0.00,975,87,116,,
29.47,14.00,978.89,26.63,1000.000000,1000.000000,0.00,932,81,116,,
29.47,14.00,978.93,26.63,1000.000000,1000.000000,0.00,932,81,116,,
29.46,14.00,978.95,26.63,1000.000000,1000.000000,0.00,672,41,116,,
29.44,14.00,978.91,26.63,1000.000000,1000.000000,0.00,540,21,116,,
29.46,14.00,978.92,26.63,1000.000000,1000.000000,0.00,1280,134,116,,
29.46,14.00,978.92,26.63,1000.000000,1000.000000,0.00,1280,134,116,,
29.46,14.00,978.85,26.63,1000.000000,1000.000000,0.00,7362,1060,116,,
29.46,14.00,978.91,26.63,1000.000000,1000.000000,0.00,1395,151,116,,
29.46,14.00,978.94,26.63,1000.000000,1000.000000,0.00,829,65,116,,
29.46,14.00,978.92,26.63,1000.000000,1000.000000,0.00,551,23,116,,
29.46,14.00,978.96,26.63,1000.000000,1000.000000,0.00,551,23,116,,
29.46,14.00,978.91,26.63,1000.000000,1000.000000,0.00,563,24,116,,
29.47,14.00,978.96,26.63,1000.000000,1000.000000,0.00,581,27,116,,
29.47,14.00,978.90,26.63,1000.000000,1000.000000,0.00,462,9,116,,
29.47,14.00,978.91,26.63,1000.000000,1000.000000,0.00,462,9,116,,
29.48,14.00,978.93,26.63,1000.000000,1000.000000,0.00,1320,140,116,,
29.47,14.00,978.89,26.63,1000.000000,1000.000000,0.00,603,30,116,,
29.48,14.00,978.87,26.63,1000.000000,1000.000000,0.00,603,30,116,,
29.50,14.00,978.93,26.63,1000.000000,1000.000000,0.00,475,11,116,,
29.52,14.00,978.95,26.63,1000.000000,1000.000000,0.00,7992,1156,116,,
29.53,14.00,978.94,26.63,1000.000000,1000.000000,0.00,5483,774,116,,
29.55,14.00,978.96,26.63,1000.000000,1000.000000,0.00,1243,128,116,,
29.53,14.00,978.92,26.63,1000.000000,1000.000000,0.00,1243,128,116,,
29.54,14.00,978.95,26.63,1000.000000,1000.000000,0.00,7992,1156,116,,
29.54,14.00,978.90,26.63,1000.000000,1000.000000,0.00,6654,952,115,,
29.55,14.00,978.93,26.63,1000.000000,1000.000000,0.00,7992,1156,116,,
29.54,14.00,978.91,26.63,1000.000000,1000.000000,0.00,7992,1156,116,,
29.53,14.00,978.95,26.63,1000.000000,1000.000000,0.00,1379,149,116,,
29.53,14.00,978.91,26.63,1000.000000,1000.000000,0.00,2562,329,115,,
29.55,14.00,978.94,26.63,1000.000000,1000.000000,0.00,3952,541,116,,
29.55,13.00,978.96,27.36,1000.000000,1000.000000,0.00,7992,1156,116,,
29.58,13.00,978.93,27.36,1000.000000,1000.000000,0.00,7992,1156,116,,
29.56,13.00,978.88,27.36,1000.000000,1000.000000,0.00,4639,645,116,,
29.57,14.00,978.95,26.63,1000.000000,1000.000000,0.00,7992,1156,115,,
29.56,14.00,978.97,26.63,1000.000000,1000.000000,0.00,1006,92,115,,
29.53,14.00,978.89,26.63,1000.000000,1000.000000,0.00,1006,92,115,,
29.53,14.00,978.89,26.63,1000.000000,1000.000000,0.00,7992,1156,115,,
29.53,14.00,978.95,26.63,1000.000000,1000.000000,0.00,4992,699,115,,
29.52,14.00,978.94,26.63,1000.000000,1000.000000,0.00,4992,699,115,,
29.50,14.00,978.91,26.63,1000.000000,1000.000000,0.00,1018,94,115,,
29.49,14.00,978.97,26.63,1000.000000,1000.000000,0.00,671,41,115,,
29.46,14.00,978.90,26.63,1000.000000,1000.000000,0.00,578,27,115,,
29.49,14.00,978.93,26.63,1000.000000,1000.000000,0.00,7992,1156,115,,
29.50,14.00,978.94,26.63,1000.000000,1000.000000,0.00,7992,1156,115,,
29.51,14.00,978.92,26.63,1000.000000,1000.000000,0.00,3625,491,115,,
29.52,14.00,978.95,26.63,1000.000000,1000.000000,0.00,5040,706,115,,
29.53,14.00,978.95,26.63,1000.000000,1000.000000,0.00,7992,1156,115,,
29.53,14.00,978.91,26.63,1000.000000,1000.000000,0.00,7992,1156,115,,
29.55,14.00,978.93,26.63,1000.000000,1000.000000,0.00,7992,1156,115,,
29.56,14.00,978.95,26.63,1000.000000,1000.000000,0.00,3001,396,115,,
29.57,14.00,978.98,26.63,1000.000000,1000.000000,0.00,2324,293,115,,
29.57,13.00,978.94,27.36,1000.000000,1000.000000,0.00,7693,1111,115,,
29.56,13.00,978.96,27.36,1000.000000,1000.000000,0.00,7693,1111,115,,
29.55,13.00,978.99,27.36,1000.000000,1000.000000,0.00,1174,117,115,,
